in s,C1 in V
-2.280022E+00,2.441E-02
-2.280012E+00,4.883E-03
-2.280002E+00,3.418E-02
-2.279992E+00,1.465E-02
-2.279982E+00,2.441E-02
-2.279972E+00,-1.465E-02
-2.279962E+00,2.441E-02
-2.279952E+00,4.883E-03
-2.279942E+00,1.465E-02
-2.279932E+00,1.465E-02
-2.279922E+00,1.465E-02
-2.279912E+00,4.883E-03
-2.279902E+00,4.883E-03
-2.279892E+00,-4.883E-03
-2.279882E+00,1.465E-02
-2.279872E+00,2.441E-02
-2.279862E+00,2.441E-02
-2.279852E+00,-4.883E-03
-2.279842E+00,2.441E-02
-2.279832E+00,4.883E-03
-2.279822E+00,-4.883E-03
-2.279812E+00,-4.883E-03
-2.279802E+00,4.883E-03
-2.279792E+00,-2.441E-02
-2.279782E+00,2.441E-02
-2.279772E+00,1.465E-02
-2.279762E+00,2.441E-02
-2.279752E+00,2.441E-02
-2.279742E+00,2.441E-02
-2.279732E+00,1.465E-02
-2.279722E+00,-4.883E-03
-2.279712E+00,1.465E-02
-2.279701E+00,4.883E-03
-2.279691E+00,-4.883E-03
-2.279681E+00,2.441E-02
-2.279671E+00,2.441E-02
-2.279661E+00,3.418E-02
-2.279651E+00,4.883E-03
-2.279641E+00,4.883E-03
-2.279631E+00,2.441E-02
-2.279621E+00,6.348E-02
-2.279611E+00,4.883E-03
-2.279601E+00,2.441E-02
-2.279591E+00,1.465E-02
-2.279581E+00,4.395E-02
-2.279571E+00,-3.418E-02
-2.279561E+00,-1.465E-02
-2.279551E+00,4.883E-03
-2.279541E+00,2.441E-02
-2.279531E+00,1.465E-02
-2.279521E+00,-4.883E-03
-2.279511E+00,3.418E-02
-2.279501E+00,-4.883E-03
-2.279491E+00,4.883E-03
-2.279481E+00,2.441E-02
-2.279471E+00,-4.883E-03
-2.279461E+00,4.883E-03
-2.279451E+00,1.465E-02
-2.279441E+00,1.465E-02
-2.279431E+00,1.465E-02
-2.279421E+00,2.441E-02
-2.279411E+00,1.465E-02
-2.279401E+00,3.418E-02
-2.279390E+00,4.883E-03
-2.279380E+00,1.465E-02
-2.279370E+00,1.465E-02
-2.279360E+00,1.465E-02
-2.279350E+00,4.883E-03
-2.279340E+00,2.441E-02
-2.279330E+00,4.883E-03
-2.279320E+00,-4.883E-03
-2.279310E+00,-1.465E-02
-2.279300E+00,-4.883E-03
-2.279290E+00,4.883E-03
-2.279280E+00,4.883E-03
-2.279270E+00,4.883E-03
-2.279260E+00,-1.465E-02
-2.279250E+00,3.418E-02
-2.279240E+00,1.465E-02
-2.279230E+00,3.418E-02
-2.279220E+00,3.418E-02
-2.279210E+00,-4.883E-03
-2.279200E+00,4.883E-03
-2.279190E+00,2.441E-02
-2.279180E+00,-4.883E-03
-2.279170E+00,1.465E-02
-2.279160E+00,1.465E-02
-2.279150E+00,3.418E-02
-2.279140E+00,4.883E-03
-2.279130E+00,3.418E-02
-2.279120E+00,2.441E-02
-2.279110E+00,3.418E-02
-2.279100E+00,4.883E-03
-2.279090E+00,4.883E-03
-2.279079E+00,4.883E-03
-2.279069E+00,3.418E-02
-2.279059E+00,-4.883E-03
-2.279049E+00,-2.441E-02
-2.279039E+00,-4.883E-03
-2.279029E+00,4.883E-03
-2.279019E+00,4.883E-03
-2.279009E+00,4.883E-03
-2.278999E+00,3.418E-02
-2.278989E+00,4.883E-03
-2.278979E+00,-2.441E-02
-2.278969E+00,1.465E-02
-2.278959E+00,3.418E-02
-2.278949E+00,2.441E-02
-2.278939E+00,4.883E-03
-2.278929E+00,2.441E-02
-2.278919E+00,1.465E-02
-2.278909E+00,-2.441E-02
-2.278899E+00,-4.883E-03
-2.278889E+00,3.418E-02
-2.278879E+00,1.465E-02
-2.278869E+00,1.465E-02
-2.278859E+00,1.465E-02
-2.278849E+00,4.883E-03
-2.278839E+00,-4.883E-03
-2.278829E+00,-4.883E-03
-2.278819E+00,4.883E-03
-2.278809E+00,2.441E-02
-2.278799E+00,4.395E-02
-2.278789E+00,1.465E-02
-2.278779E+00,2.441E-02
-2.278768E+00,-3.418E-02
-2.278758E+00,4.395E-02
-2.278748E+00,-1.465E-02
-2.278738E+00,4.883E-03
-2.278728E+00,2.441E-02
-2.278718E+00,-1.465E-02
-2.278708E+00,-4.883E-03
-2.278698E+00,-1.465E-02
-2.278688E+00,-4.883E-03
-2.278678E+00,-4.883E-03
-2.278668E+00,1.465E-02
-2.278658E+00,1.465E-02
-2.278648E+00,4.883E-03
-2.278638E+00,2.441E-02
-2.278628E+00,2.441E-02
-2.278618E+00,-4.883E-03
-2.278608E+00,4.883E-03
-2.278598E+00,-4.883E-03
-2.278588E+00,1.465E-02
-2.278578E+00,4.395E-02
-2.278568E+00,1.465E-02
-2.278558E+00,1.465E-02
-2.278548E+00,3.418E-02
-2.278538E+00,-4.883E-03
-2.278528E+00,4.883E-03
-2.278518E+00,-2.441E-02
-2.278508E+00,4.883E-03
-2.278498E+00,4.883E-03
-2.278488E+00,1.465E-02
-2.278478E+00,3.418E-02
-2.278468E+00,2.441E-02
-2.278458E+00,-4.883E-03
-2.278447E+00,3.418E-02
-2.278437E+00,4.883E-03
-2.278427E+00,1.465E-02
-2.278417E+00,4.883E-03
-2.278407E+00,-1.465E-02
-2.278397E+00,4.883E-03
-2.278387E+00,1.465E-02
-2.278377E+00,3.418E-02
-2.278367E+00,-4.883E-03
-2.278357E+00,2.441E-02
-2.278347E+00,2.441E-02
-2.278337E+00,2.441E-02
-2.278327E+00,3.418E-02
-2.278317E+00,-4.883E-03
-2.278307E+00,-4.883E-03
-2.278297E+00,4.883E-03
-2.278287E+00,1.465E-02
-2.278277E+00,2.441E-02
-2.278267E+00,2.441E-02
-2.278257E+00,1.465E-02
-2.278247E+00,4.883E-03
-2.278237E+00,2.441E-02
-2.278227E+00,-4.883E-03
-2.278217E+00,1.465E-02
-2.278207E+00,1.465E-02
-2.278197E+00,1.465E-02
-2.278187E+00,4.883E-03
-2.278177E+00,-1.465E-02
-2.278167E+00,4.883E-03
-2.278157E+00,4.883E-03
-2.278147E+00,4.883E-03
-2.278136E+00,1.465E-02
-2.278126E+00,4.883E-03
-2.278116E+00,4.883E-03
-2.278106E+00,3.418E-02
-2.278096E+00,3.418E-02
-2.278086E+00,4.883E-03
-2.278076E+00,4.883E-03
-2.278066E+00,4.883E-03
-2.278056E+00,-1.465E-02
-2.278046E+00,1.465E-02
-2.278036E+00,1.465E-02
-2.278026E+00,4.883E-03
-2.278016E+00,3.418E-02
-2.278006E+00,4.883E-03
-2.277996E+00,-4.883E-03
-2.277986E+00,1.465E-02
-2.277976E+00,2.441E-02
-2.277966E+00,4.883E-03
-2.277956E+00,1.465E-02
-2.277946E+00,4.883E-03
-2.277936E+00,-1.465E-02
-2.277926E+00,4.883E-03
-2.277916E+00,3.418E-02
-2.277906E+00,-1.465E-02
-2.277896E+00,2.441E-02
-2.277886E+00,4.883E-03
-2.277876E+00,1.465E-02
-2.277866E+00,2.441E-02
-2.277856E+00,1.465E-02
-2.277846E+00,1.465E-02
-2.277836E+00,4.883E-03
-2.277825E+00,4.883E-03
-2.277815E+00,4.883E-03
-2.277805E+00,1.465E-02
-2.277795E+00,-4.883E-03
-2.277785E+00,-4.883E-03
-2.277775E+00,-4.883E-03
-2.277765E+00,3.418E-02
-2.277755E+00,2.441E-02
-2.277745E+00,-1.465E-02
-2.277735E+00,4.883E-03
-2.277725E+00,-1.465E-02
-2.277715E+00,-4.883E-03
-2.277705E+00,4.883E-03
-2.277695E+00,3.418E-02
-2.277685E+00,1.465E-02
-2.277675E+00,1.465E-02
-2.277665E+00,4.883E-03
-2.277655E+00,4.883E-03
-2.277645E+00,4.883E-03
-2.277635E+00,1.465E-02
-2.277625E+00,4.883E-03
-2.277615E+00,4.883E-03
-2.277605E+00,2.441E-02
-2.277595E+00,4.883E-03
-2.277585E+00,1.465E-02
-2.277575E+00,2.441E-02
-2.277565E+00,4.883E-03
-2.277555E+00,-4.883E-03
-2.277545E+00,2.441E-02
-2.277535E+00,4.883E-03
-2.277525E+00,4.883E-03
-2.277514E+00,5.371E-02
-2.277504E+00,-4.883E-03
-2.277494E+00,1.465E-02
-2.277484E+00,3.418E-02
-2.277474E+00,-4.883E-03
-2.277464E+00,2.441E-02
-2.277454E+00,3.418E-02
-2.277444E+00,1.465E-02
-2.277434E+00,3.418E-02
-2.277424E+00,2.441E-02
-2.277414E+00,4.883E-03
-2.277404E+00,4.883E-03
-2.277394E+00,2.441E-02
-2.277384E+00,2.441E-02
-2.277374E+00,3.418E-02
-2.277364E+00,-4.883E-03
-2.277354E+00,1.465E-02
-2.277344E+00,-1.465E-02
-2.277334E+00,2.441E-02
-2.277324E+00,1.465E-02
-2.277314E+00,-2.441E-02
-2.277304E+00,2.441E-02
-2.277294E+00,4.883E-03
-2.277284E+00,1.465E-02
-2.277274E+00,4.883E-03
-2.277264E+00,1.465E-02
-2.277254E+00,1.465E-02
-2.277244E+00,2.441E-02
-2.277234E+00,2.441E-02
-2.277224E+00,2.441E-02
-2.277214E+00,2.441E-02
-2.277204E+00,2.441E-02
-2.277193E+00,1.465E-02
-2.277183E+00,4.883E-03
-2.277173E+00,3.418E-02
-2.277163E+00,4.883E-03
-2.277153E+00,4.395E-02
-2.277143E+00,-4.883E-03
-2.277133E+00,6.348E-02
-2.277123E+00,4.883E-03
-2.277113E+00,5.371E-02
-2.277103E+00,2.441E-02
-2.277093E+00,3.418E-02
-2.277083E+00,-4.883E-03
-2.277073E+00,4.883E-03
-2.277063E+00,-4.883E-03
-2.277053E+00,2.441E-02
-2.277043E+00,-1.465E-02
-2.277033E+00,-4.883E-03
-2.277023E+00,2.441E-02
-2.277013E+00,4.883E-03
-2.277003E+00,-4.883E-03
-2.276993E+00,3.418E-02
-2.276983E+00,4.883E-03
-2.276973E+00,3.418E-02
-2.276963E+00,2.441E-02
-2.276953E+00,3.418E-02
-2.276943E+00,3.418E-02
-2.276933E+00,3.418E-02
-2.276923E+00,-1.465E-02
-2.276913E+00,3.418E-02
-2.276903E+00,-4.883E-03
-2.276893E+00,1.465E-02
-2.276882E+00,2.441E-02
-2.276872E+00,2.441E-02
-2.276862E+00,2.441E-02
-2.276852E+00,4.883E-03
-2.276842E+00,2.441E-02
-2.276832E+00,3.418E-02
-2.276822E+00,1.465E-02
-2.276812E+00,-4.883E-03
-2.276802E+00,-4.883E-03
-2.276792E+00,-4.883E-03
-2.276782E+00,4.883E-03
-2.276772E+00,3.418E-02
-2.276762E+00,2.441E-02
-2.276752E+00,3.418E-02
-2.276742E+00,2.441E-02
-2.276732E+00,4.395E-02
-2.276722E+00,4.883E-03
-2.276712E+00,-4.883E-03
-2.276702E+00,2.441E-02
-2.276692E+00,-1.465E-02
-2.276682E+00,1.465E-02
-2.276672E+00,-1.465E-02
-2.276662E+00,2.441E-02
-2.276652E+00,1.465E-02
-2.276642E+00,1.465E-02
-2.276632E+00,4.395E-02
-2.276622E+00,-2.441E-02
-2.276612E+00,4.883E-03
-2.276602E+00,4.883E-03
-2.276592E+00,-4.883E-03
-2.276582E+00,1.465E-02
-2.276571E+00,4.395E-02
-2.276561E+00,3.418E-02
-2.276551E+00,2.441E-02
-2.276541E+00,1.465E-02
-2.276531E+00,1.465E-02
-2.276521E+00,-1.465E-02
-2.276511E+00,3.418E-02
-2.276501E+00,4.883E-03
-2.276491E+00,3.418E-02
-2.276481E+00,-1.465E-02
-2.276471E+00,2.441E-02
-2.276461E+00,1.465E-02
-2.276451E+00,3.418E-02
-2.276441E+00,4.883E-03
-2.276431E+00,2.441E-02
-2.276421E+00,-4.883E-03
-2.276411E+00,3.418E-02
-2.276401E+00,4.883E-03
-2.276391E+00,-4.883E-03
-2.276381E+00,4.883E-03
-2.276371E+00,4.883E-03
-2.276361E+00,2.441E-02
-2.276351E+00,3.418E-02
-2.276341E+00,-4.883E-03
-2.276331E+00,-4.883E-03
-2.276321E+00,2.441E-02
-2.276311E+00,2.441E-02
-2.276301E+00,2.441E-02
-2.276291E+00,4.883E-03
-2.276281E+00,-4.883E-03
-2.276271E+00,4.883E-03
-2.276260E+00,2.441E-02
-2.276250E+00,4.883E-03
-2.276240E+00,2.441E-02
-2.276230E+00,2.441E-02
-2.276220E+00,1.465E-02
-2.276210E+00,1.465E-02
-2.276200E+00,2.441E-02
-2.276190E+00,2.441E-02
-2.276180E+00,2.441E-02
-2.276170E+00,4.395E-02
-2.276160E+00,1.465E-02
-2.276150E+00,3.418E-02
-2.276140E+00,4.883E-03
-2.276130E+00,-4.883E-03
-2.276120E+00,-1.465E-02
-2.276110E+00,3.418E-02
-2.276100E+00,4.883E-03
-2.276090E+00,2.441E-02
-2.276080E+00,4.883E-03
-2.276070E+00,-4.883E-03
-2.276060E+00,1.465E-02
-2.276050E+00,3.418E-02
-2.276040E+00,3.418E-02
-2.276030E+00,1.465E-02
-2.276020E+00,4.883E-03
-2.276010E+00,-4.883E-03
-2.276000E+00,4.395E-02
-2.275990E+00,-2.441E-02
-2.275980E+00,4.883E-03
-2.275970E+00,4.883E-03
-2.275960E+00,1.465E-02
-2.275950E+00,2.441E-02
-2.275939E+00,-4.883E-03
-2.275929E+00,2.441E-02
-2.275919E+00,2.441E-02
-2.275909E+00,2.441E-02
-2.275899E+00,-4.883E-03
-2.275889E+00,-1.465E-02
-2.275879E+00,-4.883E-03
-2.275869E+00,4.395E-02
-2.275859E+00,1.465E-02
-2.275849E+00,1.465E-02
-2.275839E+00,1.465E-02
-2.275829E+00,3.418E-02
-2.275819E+00,1.465E-02
-2.275809E+00,3.418E-02
-2.275799E+00,1.465E-02
-2.275789E+00,3.418E-02
-2.275779E+00,4.883E-03
-2.275769E+00,3.418E-02
-2.275759E+00,4.883E-03
-2.275749E+00,1.465E-02
-2.275739E+00,1.465E-02
-2.275729E+00,4.883E-03
-2.275719E+00,4.883E-03
-2.275709E+00,4.883E-03
-2.275699E+00,4.883E-03
-2.275689E+00,1.465E-02
-2.275679E+00,4.883E-03
-2.275669E+00,3.418E-02
-2.275659E+00,4.883E-03
-2.275649E+00,1.465E-02
-2.275639E+00,4.883E-03
-2.275628E+00,4.395E-02
-2.275618E+00,1.465E-02
-2.275608E+00,2.441E-02
-2.275598E+00,1.465E-02
-2.275588E+00,2.441E-02
-2.275578E+00,4.883E-03
-2.275568E+00,3.418E-02
-2.275558E+00,-4.883E-03
-2.275548E+00,2.441E-02
-2.275538E+00,2.441E-02
-2.275528E+00,5.371E-02
-2.275518E+00,1.465E-02
-2.275508E+00,2.441E-02
-2.275498E+00,1.465E-02
-2.275488E+00,4.883E-03
-2.275478E+00,-4.883E-03
-2.275468E+00,1.465E-02
-2.275458E+00,1.465E-02
-2.275448E+00,1.465E-02
-2.275438E+00,-1.465E-02
-2.275428E+00,1.465E-02
-2.275418E+00,-2.441E-02
-2.275408E+00,-4.883E-03
-2.275398E+00,4.883E-03
-2.275388E+00,3.418E-02
-2.275378E+00,4.883E-03
-2.275368E+00,2.441E-02
-2.275358E+00,2.441E-02
-2.275348E+00,2.441E-02
-2.275338E+00,-4.883E-03
-2.275328E+00,1.465E-02
-2.275317E+00,2.441E-02
-2.275307E+00,5.371E-02
-2.275297E+00,4.883E-03
-2.275287E+00,4.883E-03
-2.275277E+00,4.883E-03
-2.275267E+00,1.465E-02
-2.275257E+00,1.465E-02
-2.275247E+00,4.883E-03
-2.275237E+00,3.418E-02
-2.275227E+00,4.883E-03
-2.275217E+00,2.441E-02
-2.275207E+00,3.418E-02
-2.275197E+00,2.441E-02
-2.275187E+00,1.465E-02
-2.275177E+00,2.441E-02
-2.275167E+00,3.418E-02
-2.275157E+00,-4.883E-03
-2.275147E+00,4.883E-03
-2.275137E+00,4.883E-03
-2.275127E+00,3.418E-02
-2.275117E+00,4.883E-03
-2.275107E+00,1.465E-02
-2.275097E+00,-4.883E-03
-2.275087E+00,-4.883E-03
-2.275077E+00,2.441E-02
-2.275067E+00,1.465E-02
-2.275057E+00,4.883E-03
-2.275047E+00,-2.441E-02
-2.275037E+00,2.441E-02
-2.275027E+00,4.883E-03
-2.275017E+00,1.465E-02
-2.275006E+00,3.418E-02
-2.274996E+00,1.465E-02
-2.274986E+00,-4.883E-03
-2.274976E+00,2.441E-02
-2.274966E+00,-4.883E-03
-2.274956E+00,-4.883E-03
-2.274946E+00,3.418E-02
-2.274936E+00,2.441E-02
-2.274926E+00,4.883E-03
-2.274916E+00,1.465E-02
-2.274906E+00,4.395E-02
-2.274896E+00,4.883E-03
-2.274886E+00,3.418E-02
-2.274876E+00,2.441E-02
-2.274866E+00,3.418E-02
-2.274856E+00,3.418E-02
-2.274846E+00,3.418E-02
-2.274836E+00,4.883E-03
-2.274826E+00,2.441E-02
-2.274816E+00,-1.465E-02
-2.274806E+00,2.441E-02
-2.274796E+00,4.883E-03
-2.274786E+00,1.465E-02
-2.274776E+00,-4.883E-03
-2.274766E+00,1.465E-02
-2.274756E+00,2.441E-02
-2.274746E+00,3.418E-02
-2.274736E+00,4.883E-03
-2.274726E+00,1.465E-02
-2.274716E+00,-4.883E-03
-2.274706E+00,2.441E-02
-2.274696E+00,2.441E-02
-2.274685E+00,1.465E-02
-2.274675E+00,2.441E-02
-2.274665E+00,2.441E-02
-2.274655E+00,1.465E-02
-2.274645E+00,4.883E-03
-2.274635E+00,-4.883E-03
-2.274625E+00,4.883E-03
-2.274615E+00,2.441E-02
-2.274605E+00,2.441E-02
-2.274595E+00,4.883E-03
-2.274585E+00,4.883E-03
-2.274575E+00,2.441E-02
-2.274565E+00,4.395E-02
-2.274555E+00,1.465E-02
-2.274545E+00,4.395E-02
-2.274535E+00,4.883E-03
-2.274525E+00,2.441E-02
-2.274515E+00,-4.883E-03
-2.274505E+00,3.418E-02
-2.274495E+00,-4.883E-03
-2.274485E+00,3.418E-02
-2.274475E+00,-4.883E-03
-2.274465E+00,2.441E-02
-2.274455E+00,4.883E-03
-2.274445E+00,2.441E-02
-2.274435E+00,-1.465E-02
-2.274425E+00,2.441E-02
-2.274415E+00,2.441E-02
-2.274405E+00,1.465E-02
-2.274395E+00,3.418E-02
-2.274385E+00,2.441E-02
-2.274374E+00,3.418E-02
-2.274364E+00,2.441E-02
-2.274354E+00,4.883E-03
-2.274344E+00,1.465E-02
-2.274334E+00,4.883E-03
-2.274324E+00,1.465E-02
-2.274314E+00,2.441E-02
-2.274304E+00,1.465E-02
-2.274294E+00,1.465E-02
-2.274284E+00,3.418E-02
-2.274274E+00,2.441E-02
-2.274264E+00,4.883E-03
-2.274254E+00,1.465E-02
-2.274244E+00,-4.883E-03
-2.274234E+00,1.465E-02
-2.274224E+00,3.418E-02
-2.274214E+00,4.883E-03
-2.274204E+00,2.441E-02
-2.274194E+00,4.883E-03
-2.274184E+00,3.418E-02
-2.274174E+00,-2.441E-02
-2.274164E+00,1.465E-02
-2.274154E+00,2.441E-02
-2.274144E+00,1.465E-02
-2.274134E+00,-2.441E-02
-2.274124E+00,3.418E-02
-2.274114E+00,4.883E-03
-2.274104E+00,4.883E-03
-2.274094E+00,4.883E-03
-2.274084E+00,-4.883E-03
-2.274074E+00,3.418E-02
-2.274063E+00,-4.883E-03
-2.274053E+00,1.465E-02
-2.274043E+00,2.441E-02
