in s,C1 in V
-2.000026E-02,4.883E-03
-1.999520E-02,-4.883E-03
-1.999014E-02,-1.465E-02
-1.998509E-02,4.883E-03
-1.998003E-02,2.441E-02
-1.997498E-02,4.883E-03
-1.996992E-02,-2.441E-02
-1.996486E-02,3.418E-02
-1.995981E-02,4.883E-03
-1.995475E-02,4.883E-03
-1.994970E-02,4.883E-03
-1.994464E-02,4.883E-03
-1.993958E-02,1.465E-02
-1.993453E-02,-4.883E-03
-1.992947E-02,4.883E-03
-1.992442E-02,-4.883E-03
-1.991936E-02,2.441E-02
-1.991430E-02,4.883E-03
-1.990925E-02,1.465E-02
-1.990419E-02,-4.883E-03
-1.989914E-02,2.441E-02
-1.989408E-02,1.465E-02
-1.988902E-02,1.465E-02
-1.988397E-02,-2.441E-02
-1.987891E-02,1.465E-02
-1.987386E-02,-1.465E-02
-1.986880E-02,2.441E-02
-1.986374E-02,-2.441E-02
-1.985869E-02,-4.883E-03
-1.985363E-02,2.441E-02
-1.984858E-02,4.883E-03
-1.984352E-02,4.883E-03
-1.983846E-02,2.441E-02
-1.983341E-02,2.441E-02
-1.982835E-02,-1.465E-02
-1.982330E-02,1.465E-02
-1.981824E-02,4.883E-03
-1.981318E-02,4.883E-03
-1.980813E-02,4.883E-03
-1.980307E-02,3.418E-02
-1.979802E-02,2.441E-02
-1.979296E-02,2.441E-02
-1.978790E-02,-4.883E-03
-1.978285E-02,1.465E-02
-1.977779E-02,4.883E-03
-1.977274E-02,4.883E-03
-1.976768E-02,-1.465E-02
-1.976262E-02,-2.441E-02
-1.975757E-02,-4.883E-03
-1.975251E-02,2.441E-02
-1.974746E-02,-4.883E-03
-1.974240E-02,4.883E-03
-1.973734E-02,-4.883E-03
-1.973229E-02,4.883E-03
-1.972723E-02,2.441E-02
-1.972218E-02,3.418E-02
-1.971712E-02,2.441E-02
-1.971206E-02,-2.441E-02
-1.970701E-02,1.465E-02
-1.970195E-02,-3.418E-02
-1.969690E-02,4.883E-03
-1.969184E-02,-4.883E-03
-1.968678E-02,4.883E-03
-1.968173E-02,4.883E-03
-1.967667E-02,-1.465E-02
-1.967162E-02,-4.883E-03
-1.966656E-02,1.465E-02
-1.966150E-02,2.441E-02
-1.965645E-02,-4.883E-03
-1.965139E-02,-3.418E-02
-1.964634E-02,4.883E-03
-1.964128E-02,4.883E-03
-1.963622E-02,-4.883E-03
-1.963117E-02,-4.883E-03
-1.962611E-02,-4.883E-03
-1.962106E-02,1.465E-02
-1.961600E-02,4.883E-03
-1.961094E-02,-2.441E-02
-1.960589E-02,2.441E-02
-1.960083E-02,-4.883E-03
-1.959578E-02,2.441E-02
-1.959072E-02,4.883E-03
-1.958566E-02,-4.883E-03
-1.958061E-02,-4.883E-03
-1.957555E-02,1.465E-02
-1.957050E-02,-1.465E-02
-1.956544E-02,4.883E-03
-1.956038E-02,4.883E-03
-1.955533E-02,4.883E-03
-1.955027E-02,4.883E-03
-1.954522E-02,4.883E-03
-1.954016E-02,4.883E-03
-1.953510E-02,-4.883E-03
-1.953005E-02,4.883E-03
-1.952499E-02,-4.883E-03
-1.951994E-02,-1.465E-02
-1.951488E-02,4.883E-03
-1.950982E-02,-4.883E-03
-1.950477E-02,2.441E-02
-1.949971E-02,4.883E-03
-1.949466E-02,-4.883E-03
-1.948960E-02,4.883E-03
-1.948454E-02,1.465E-02
-1.947949E-02,-4.883E-03
-1.947443E-02,4.883E-03
-1.946938E-02,-1.465E-02
-1.946432E-02,4.883E-03
-1.945926E-02,2.441E-02
-1.945421E-02,1.465E-02
-1.944915E-02,4.883E-03
-1.944410E-02,1.465E-02
-1.943904E-02,-4.883E-03
-1.943398E-02,-4.883E-03
-1.942893E-02,2.441E-02
-1.942387E-02,-4.883E-03
-1.941882E-02,1.465E-02
-1.941376E-02,-4.883E-03
-1.940870E-02,1.465E-02
-1.940365E-02,1.465E-02
-1.939859E-02,4.883E-03
-1.939354E-02,1.465E-02
-1.938848E-02,1.465E-02
-1.938342E-02,-4.883E-03
-1.937837E-02,-4.883E-03
-1.937331E-02,3.418E-02
-1.936826E-02,-3.418E-02
-1.936320E-02,4.883E-03
-1.935814E-02,4.883E-03
-1.935309E-02,2.441E-02
-1.934803E-02,-4.883E-03
-1.934298E-02,2.441E-02
-1.933792E-02,4.883E-03
-1.933286E-02,-1.465E-02
-1.932781E-02,1.465E-02
-1.932275E-02,-4.883E-03
-1.931770E-02,4.883E-03
-1.931264E-02,4.883E-03
-1.930758E-02,1.465E-02
-1.930253E-02,4.883E-03
-1.929747E-02,4.883E-03
-1.929242E-02,4.883E-03
-1.928736E-02,4.883E-03
-1.928230E-02,4.883E-03
-1.927725E-02,2.441E-02
-1.927219E-02,1.465E-02
-1.926714E-02,3.418E-02
-1.926208E-02,-4.883E-03
-1.925702E-02,2.441E-02
-1.925197E-02,4.883E-03
-1.924691E-02,-4.883E-03
-1.924186E-02,-4.883E-03
-1.923680E-02,3.418E-02
-1.923174E-02,-4.883E-03
-1.922669E-02,2.441E-02
-1.922163E-02,-1.465E-02
-1.921658E-02,4.883E-03
-1.921152E-02,1.465E-02
-1.920646E-02,-4.883E-03
-1.920141E-02,-4.883E-03
-1.919635E-02,1.465E-02
-1.919130E-02,-4.883E-03
-1.918624E-02,2.441E-02
-1.918118E-02,1.465E-02
-1.917613E-02,-2.441E-02
-1.917107E-02,4.883E-03
-1.916602E-02,-1.465E-02
-1.916096E-02,3.418E-02
-1.915590E-02,4.883E-03
-1.915085E-02,-1.465E-02
-1.914579E-02,4.883E-03
-1.914074E-02,-4.883E-03
-1.913568E-02,4.883E-03
-1.913062E-02,-1.465E-02
-1.912557E-02,2.441E-02
-1.912051E-02,4.883E-03
-1.911546E-02,1.465E-02
-1.911040E-02,-1.465E-02
-1.910534E-02,2.441E-02
-1.910029E-02,4.883E-03
-1.909523E-02,-1.465E-02
-1.909018E-02,-4.883E-03
-1.908512E-02,4.883E-03
-1.908006E-02,-4.883E-03
-1.907501E-02,1.465E-02
-1.906995E-02,-2.441E-02
-1.906490E-02,1.465E-02
-1.905984E-02,-3.418E-02
-1.905478E-02,4.883E-03
-1.904973E-02,2.441E-02
-1.904467E-02,1.465E-02
-1.903962E-02,-4.883E-03
-1.903456E-02,4.883E-03
-1.902950E-02,1.465E-02
-1.902445E-02,2.441E-02
-1.901939E-02,-2.441E-02
-1.901434E-02,-4.883E-03
-1.900928E-02,4.883E-03
-1.900422E-02,-4.883E-03
-1.899917E-02,2.441E-02
-1.899411E-02,4.883E-03
-1.898906E-02,1.465E-02
-1.898400E-02,-4.883E-03
-1.897894E-02,2.441E-02
-1.897389E-02,-4.883E-03
-1.896883E-02,4.883E-03
-1.896378E-02,-1.465E-02
-1.895872E-02,1.465E-02
-1.895366E-02,-1.465E-02
-1.894861E-02,2.441E-02
-1.894355E-02,4.883E-03
-1.893850E-02,1.465E-02
-1.893344E-02,4.883E-03
-1.892838E-02,4.883E-03
-1.892333E-02,4.883E-03
-1.891827E-02,4.883E-03
-1.891322E-02,-4.883E-03
-1.890816E-02,4.883E-03
-1.890310E-02,-4.883E-03
-1.889805E-02,2.441E-02
-1.889299E-02,1.465E-02
-1.888794E-02,4.395E-02
-1.888288E-02,4.883E-03
-1.887782E-02,1.465E-02
-1.887277E-02,2.441E-02
-1.886771E-02,1.465E-02
-1.886266E-02,4.883E-03
-1.885760E-02,2.441E-02
-1.885254E-02,4.883E-03
-1.884749E-02,1.465E-02
-1.884243E-02,-1.465E-02
-1.883738E-02,-4.883E-03
-1.883232E-02,-2.441E-02
-1.882726E-02,-4.883E-03
-1.882221E-02,-4.883E-03
-1.881715E-02,4.883E-03
-1.881210E-02,4.883E-03
-1.880704E-02,2.441E-02
-1.880198E-02,4.883E-03
-1.879693E-02,2.441E-02
-1.879187E-02,4.883E-03
-1.878682E-02,-4.883E-03
-1.878176E-02,1.465E-02
-1.877670E-02,-1.465E-02
-1.877165E-02,4.883E-03
-1.876659E-02,-4.883E-03
-1.876154E-02,3.418E-02
-1.875648E-02,-4.883E-03
-1.875142E-02,4.883E-03
-1.874637E-02,1.465E-02
-1.874131E-02,-4.883E-03
-1.873626E-02,-4.883E-03
-1.873120E-02,1.465E-02
-1.872614E-02,4.883E-03
-1.872109E-02,4.883E-03
-1.871603E-02,4.883E-03
-1.871098E-02,4.883E-03
-1.870592E-02,4.883E-03
-1.870086E-02,4.883E-03
-1.869581E-02,-4.883E-03
-1.869075E-02,2.441E-02
-1.868570E-02,4.883E-03
-1.868064E-02,-4.883E-03
-1.867558E-02,4.883E-03
-1.867053E-02,4.883E-03
-1.866547E-02,1.465E-02
-1.866042E-02,4.883E-03
-1.865536E-02,4.883E-03
