in s,C2 in V
-2.99061E+00,2.92252E-01
-2.99056E+00,2.92313E-01
-2.99051E+00,2.92389E-01
-2.99046E+00,2.92405E-01
-2.99041E+00,2.92359E-01
-2.99036E+00,2.92374E-01
-2.99031E+00,2.92328E-01
-2.99026E+00,2.92298E-01
-2.99021E+00,2.92283E-01
-2.99016E+00,2.92344E-01
-2.99011E+00,2.92328E-01
-2.99006E+00,2.92359E-01
-2.99001E+00,2.92328E-01
-2.98996E+00,2.92344E-01
-2.98991E+00,2.92359E-01
-2.98986E+00,2.92359E-01
-2.98981E+00,2.92328E-01
-2.98976E+00,2.92435E-01
-2.98971E+00,2.92389E-01
-2.98966E+00,2.92420E-01
-2.98961E+00,2.92572E-01
-2.98956E+00,2.92496E-01
-2.98951E+00,2.92542E-01
-2.98946E+00,2.92466E-01
-2.98941E+00,2.92511E-01
-2.98936E+00,2.92496E-01
-2.98931E+00,2.92542E-01
-2.98926E+00,2.92496E-01
-2.98921E+00,2.92496E-01
-2.98916E+00,2.92466E-01
-2.98911E+00,2.92527E-01
-2.98906E+00,2.92572E-01
-2.98901E+00,2.92618E-01
-2.98896E+00,2.92710E-01
-2.98891E+00,2.92633E-01
-2.98886E+00,2.92695E-01
-2.98881E+00,2.92740E-01
-2.98876E+00,2.92695E-01
-2.98871E+00,2.92725E-01
-2.98866E+00,2.92633E-01
-2.98861E+00,2.92664E-01
-2.98856E+00,2.92664E-01
-2.98851E+00,2.92588E-01
-2.98846E+00,2.92649E-01
-2.98841E+00,2.92557E-01
-2.98836E+00,2.92542E-01
-2.98831E+00,2.92572E-01
-2.98826E+00,2.92557E-01
-2.98821E+00,2.92618E-01
-2.98816E+00,2.92710E-01
-2.98811E+00,2.92664E-01
-2.98806E+00,2.92633E-01
-2.98801E+00,2.92649E-01
-2.98796E+00,2.92588E-01
-2.98791E+00,2.92695E-01
-2.98786E+00,2.92695E-01
-2.98781E+00,2.92695E-01
-2.98776E+00,2.92695E-01
-2.98771E+00,2.92710E-01
-2.98765E+00,2.92817E-01
-2.98760E+00,2.92862E-01
-2.98755E+00,2.92817E-01
-2.98750E+00,2.92695E-01
-2.98745E+00,2.92725E-01
-2.98740E+00,2.92756E-01
-2.98735E+00,2.92740E-01
-2.98730E+00,2.92725E-01
-2.98725E+00,2.92725E-01
-2.98720E+00,2.92740E-01
-2.98715E+00,2.92725E-01
-2.98710E+00,2.92695E-01
-2.98705E+00,2.92740E-01
-2.98700E+00,2.92710E-01
-2.98695E+00,2.92664E-01
-2.98690E+00,2.92633E-01
-2.98685E+00,2.92771E-01
-2.98680E+00,2.92771E-01
-2.98675E+00,2.92817E-01
-2.98670E+00,2.92878E-01
-2.98665E+00,2.92893E-01
-2.98660E+00,2.92908E-01
-2.98655E+00,2.92908E-01
-2.98650E+00,2.92878E-01
-2.98645E+00,2.92862E-01
-2.98640E+00,2.92817E-01
-2.98635E+00,2.92832E-01
-2.98630E+00,2.92862E-01
-2.98625E+00,2.92832E-01
-2.98620E+00,2.92832E-01
-2.98615E+00,2.92878E-01
-2.98610E+00,2.92771E-01
-2.98605E+00,2.92801E-01
-2.98600E+00,2.92817E-01
-2.98595E+00,2.92893E-01
-2.98590E+00,2.92771E-01
-2.98585E+00,2.92786E-01
-2.98580E+00,2.92801E-01
-2.98575E+00,2.92725E-01
-2.98570E+00,2.92862E-01
-2.98565E+00,2.92695E-01
-2.98560E+00,2.92740E-01
-2.98555E+00,2.92633E-01
-2.98550E+00,2.92710E-01
-2.98545E+00,2.92679E-01
-2.98540E+00,2.92649E-01
-2.98535E+00,2.92542E-01
-2.98530E+00,2.92527E-01
-2.98525E+00,2.92618E-01
-2.98520E+00,2.92511E-01
-2.98515E+00,2.92542E-01
-2.98510E+00,2.92618E-01
-2.98505E+00,2.92542E-01
-2.98500E+00,2.92542E-01
-2.98495E+00,2.92496E-01
-2.98490E+00,2.92435E-01
-2.98485E+00,2.92374E-01
-2.98480E+00,2.92374E-01
-2.98475E+00,2.92313E-01
-2.98470E+00,2.92466E-01
-2.98465E+00,2.92450E-01
-2.98460E+00,2.92359E-01
-2.98454E+00,2.92313E-01
-2.98449E+00,2.92344E-01
-2.98444E+00,2.92389E-01
-2.98439E+00,2.92313E-01
-2.98434E+00,2.92283E-01
-2.98429E+00,2.92359E-01
-2.98424E+00,2.92389E-01
-2.98419E+00,2.92420E-01
-2.98414E+00,2.92344E-01
-2.98409E+00,2.92283E-01
-2.98404E+00,2.92267E-01
-2.98399E+00,2.92191E-01
-2.98394E+00,2.92328E-01
-2.98389E+00,2.92328E-01
-2.98384E+00,2.92435E-01
-2.98379E+00,2.92435E-01
-2.98374E+00,2.92298E-01
-2.98369E+00,2.92405E-01
-2.98364E+00,2.92572E-01
-2.98359E+00,2.92542E-01
-2.98354E+00,2.92450E-01
-2.98349E+00,2.92511E-01
-2.98344E+00,2.92496E-01
-2.98339E+00,2.92450E-01
-2.98334E+00,2.92420E-01
-2.98329E+00,2.92359E-01
-2.98324E+00,2.92313E-01
-2.98319E+00,2.92374E-01
-2.98314E+00,2.92313E-01
-2.98309E+00,2.92237E-01
-2.98304E+00,2.92328E-01
-2.98299E+00,2.92374E-01
-2.98294E+00,2.92344E-01
-2.98289E+00,2.92298E-01
-2.98284E+00,2.92267E-01
-2.98279E+00,2.92191E-01
-2.98274E+00,2.92328E-01
-2.98269E+00,2.92283E-01
-2.98264E+00,2.92160E-01
-2.98259E+00,2.92191E-01
-2.98254E+00,2.92191E-01
-2.98249E+00,2.92115E-01
-2.98244E+00,2.92237E-01
-2.98239E+00,2.92252E-01
-2.98234E+00,2.92237E-01
-2.98229E+00,2.92267E-01
-2.98224E+00,2.92252E-01
-2.98219E+00,2.92298E-01
-2.98214E+00,2.92298E-01
-2.98209E+00,2.92389E-01
-2.98204E+00,2.92267E-01
-2.98199E+00,2.92298E-01
-2.98194E+00,2.92283E-01
-2.98189E+00,2.92206E-01
-2.98184E+00,2.92298E-01
-2.98179E+00,2.92252E-01
-2.98174E+00,2.92298E-01
-2.98169E+00,2.92206E-01
-2.98164E+00,2.92267E-01
-2.98159E+00,2.92313E-01
-2.98154E+00,2.92389E-01
-2.98149E+00,2.92298E-01
-2.98144E+00,2.92252E-01
-2.98138E+00,2.92328E-01
-2.98133E+00,2.92344E-01
-2.98128E+00,2.92374E-01
-2.98123E+00,2.92313E-01
-2.98118E+00,2.92328E-01
-2.98113E+00,2.92298E-01
-2.98108E+00,2.92374E-01
-2.98103E+00,2.92298E-01
-2.98098E+00,2.92389E-01
-2.98093E+00,2.92344E-01
-2.98088E+00,2.92313E-01
-2.98083E+00,2.92328E-01
-2.98078E+00,2.92374E-01
-2.98073E+00,2.92405E-01
-2.98068E+00,2.92389E-01
-2.98063E+00,2.92405E-01
-2.98058E+00,2.92267E-01
-2.98053E+00,2.92206E-01
-2.98048E+00,2.92267E-01
-2.98043E+00,2.92298E-01
-2.98038E+00,2.92374E-01
-2.98033E+00,2.92374E-01
-2.98028E+00,2.92435E-01
-2.98023E+00,2.92374E-01
-2.98018E+00,2.92435E-01
-2.98013E+00,2.92405E-01
-2.98008E+00,2.92435E-01
-2.98003E+00,2.92466E-01
-2.97998E+00,2.92435E-01
-2.97993E+00,2.92359E-01
-2.97988E+00,2.92328E-01
-2.97983E+00,2.92405E-01
-2.97978E+00,2.92450E-01
-2.97973E+00,2.92435E-01
-2.97968E+00,2.92527E-01
-2.97963E+00,2.92527E-01
-2.97958E+00,2.92405E-01
-2.97953E+00,2.92344E-01
-2.97948E+00,2.92328E-01
-2.97943E+00,2.92435E-01
-2.97938E+00,2.92450E-01
-2.97933E+00,2.92557E-01
-2.97928E+00,2.92618E-01
-2.97923E+00,2.92618E-01
-2.97918E+00,2.92618E-01
-2.97913E+00,2.92633E-01
-2.97908E+00,2.92740E-01
-2.97903E+00,2.92740E-01
-2.97898E+00,2.92695E-01
-2.97893E+00,2.92649E-01
-2.97888E+00,2.92633E-01
-2.97883E+00,2.92710E-01
-2.97878E+00,2.92771E-01
-2.97873E+00,2.92725E-01
-2.97868E+00,2.92618E-01
-2.97863E+00,2.92557E-01
-2.97858E+00,2.92511E-01
-2.97853E+00,2.92496E-01
-2.97848E+00,2.92588E-01
-2.97843E+00,2.92542E-01
-2.97838E+00,2.92481E-01
-2.97833E+00,2.92588E-01
-2.97827E+00,2.92618E-01
-2.97822E+00,2.92527E-01
-2.97817E+00,2.92588E-01
-2.97812E+00,2.92603E-01
-2.97807E+00,2.92557E-01
-2.97802E+00,2.92603E-01
-2.97797E+00,2.92710E-01
-2.97792E+00,2.92740E-01
-2.97787E+00,2.92725E-01
-2.97782E+00,2.92725E-01
-2.97777E+00,2.92649E-01
-2.97772E+00,2.92633E-01
-2.97767E+00,2.92695E-01
-2.97762E+00,2.92618E-01
-2.97757E+00,2.92710E-01
-2.97752E+00,2.92633E-01
-2.97747E+00,2.92649E-01
-2.97742E+00,2.92618E-01
-2.97737E+00,2.92603E-01
-2.97732E+00,2.92679E-01
-2.97727E+00,2.92695E-01
-2.97722E+00,2.92695E-01
-2.97717E+00,2.92664E-01
-2.97712E+00,2.92695E-01
-2.97707E+00,2.92740E-01
-2.97702E+00,2.92740E-01
-2.97697E+00,2.92695E-01
-2.97692E+00,2.92664E-01
-2.97687E+00,2.92679E-01
-2.97682E+00,2.92725E-01
-2.97677E+00,2.92679E-01
-2.97672E+00,2.92603E-01
-2.97667E+00,2.92664E-01
-2.97662E+00,2.92649E-01
-2.97657E+00,2.92603E-01
-2.97652E+00,2.92786E-01
-2.97647E+00,2.92817E-01
-2.97642E+00,2.92710E-01
-2.97637E+00,2.92786E-01
-2.97632E+00,2.92908E-01
-2.97627E+00,2.92893E-01
-2.97622E+00,2.92817E-01
-2.97617E+00,2.92740E-01
-2.97612E+00,2.92695E-01
-2.97607E+00,2.92695E-01
-2.97602E+00,2.92695E-01
-2.97597E+00,2.92695E-01
-2.97592E+00,2.92740E-01
-2.97587E+00,2.92679E-01
-2.97582E+00,2.92725E-01
-2.97577E+00,2.92695E-01
-2.97572E+00,2.92710E-01
-2.97567E+00,2.92618E-01
-2.97562E+00,2.92710E-01
-2.97557E+00,2.92786E-01
-2.97552E+00,2.92756E-01
-2.97547E+00,2.92649E-01
-2.97542E+00,2.92710E-01
-2.97537E+00,2.92740E-01
-2.97532E+00,2.92695E-01
-2.97527E+00,2.92649E-01
-2.97522E+00,2.92649E-01
-2.97517E+00,2.92679E-01
-2.97511E+00,2.92633E-01
-2.97506E+00,2.92572E-01
-2.97501E+00,2.92633E-01
-2.97496E+00,2.92557E-01
-2.97491E+00,2.92542E-01
-2.97486E+00,2.92572E-01
-2.97481E+00,2.92450E-01
-2.97476E+00,2.92283E-01
-2.97471E+00,2.92405E-01
-2.97466E+00,2.92405E-01
-2.97461E+00,2.92313E-01
-2.97456E+00,2.92344E-01
-2.97451E+00,2.92450E-01
-2.97446E+00,2.92481E-01
-2.97441E+00,2.92420E-01
-2.97436E+00,2.92466E-01
-2.97431E+00,2.92466E-01
-2.97426E+00,2.92420E-01
-2.97421E+00,2.92389E-01
-2.97416E+00,2.92405E-01
-2.97411E+00,2.92313E-01
-2.97406E+00,2.92328E-01
-2.97401E+00,2.92283E-01
-2.97396E+00,2.92237E-01
-2.97391E+00,2.92283E-01
-2.97386E+00,2.92283E-01
-2.97381E+00,2.92267E-01
-2.97376E+00,2.92267E-01
-2.97371E+00,2.92298E-01
-2.97366E+00,2.92267E-01
-2.97361E+00,2.92313E-01
-2.97356E+00,2.92283E-01
-2.97351E+00,2.92328E-01
-2.97346E+00,2.92283E-01
-2.97341E+00,2.92313E-01
-2.97336E+00,2.92252E-01
-2.97331E+00,2.92313E-01
-2.97326E+00,2.92221E-01
-2.97321E+00,2.92206E-01
-2.97316E+00,2.92115E-01
-2.97311E+00,2.92038E-01
-2.97306E+00,2.92130E-01
-2.97301E+00,2.92023E-01
-2.97296E+00,2.92008E-01
-2.97291E+00,2.92054E-01
-2.97286E+00,2.92069E-01
-2.97281E+00,2.92084E-01
-2.97276E+00,2.92160E-01
-2.97271E+00,2.92130E-01
-2.97266E+00,2.92176E-01
-2.97261E+00,2.92084E-01
-2.97256E+00,2.92130E-01
-2.97251E+00,2.92099E-01
-2.97246E+00,2.92099E-01
-2.97241E+00,2.92176E-01
-2.97236E+00,2.92145E-01
-2.97231E+00,2.92099E-01
-2.97226E+00,2.92130E-01
-2.97221E+00,2.92130E-01
-2.97216E+00,2.92160E-01
-2.97211E+00,2.92176E-01
-2.97206E+00,2.92221E-01
-2.97200E+00,2.92176E-01
-2.97195E+00,2.92221E-01
-2.97190E+00,2.92283E-01
-2.97185E+00,2.92237E-01
-2.97180E+00,2.92191E-01
-2.97175E+00,2.92191E-01
-2.97170E+00,2.92176E-01
-2.97165E+00,2.92145E-01
-2.97160E+00,2.92221E-01
-2.97155E+00,2.92267E-01
-2.97150E+00,2.92237E-01
-2.97145E+00,2.92160E-01
-2.97140E+00,2.92115E-01
-2.97135E+00,2.92191E-01
-2.97130E+00,2.92176E-01
-2.97125E+00,2.92130E-01
-2.97120E+00,2.92115E-01
-2.97115E+00,2.92115E-01
-2.97110E+00,2.92099E-01
-2.97105E+00,2.92252E-01
-2.97100E+00,2.92221E-01
-2.97095E+00,2.92130E-01
-2.97090E+00,2.92206E-01
-2.97085E+00,2.92267E-01
-2.97080E+00,2.92237E-01
-2.97075E+00,2.92237E-01
-2.97070E+00,2.92313E-01
-2.97065E+00,2.92344E-01
-2.97060E+00,2.92344E-01
-2.97055E+00,2.92374E-01
-2.97050E+00,2.92313E-01
-2.97045E+00,2.92374E-01
-2.97040E+00,2.92359E-01
-2.97035E+00,2.92328E-01
-2.97030E+00,2.92328E-01
-2.97025E+00,2.92221E-01
-2.97020E+00,2.92359E-01
-2.97015E+00,2.92283E-01
-2.97010E+00,2.92359E-01
-2.97005E+00,2.92344E-01
-2.97000E+00,2.92359E-01
-2.96995E+00,2.92374E-01
-2.96990E+00,2.92450E-01
-2.96985E+00,2.92466E-01
-2.96980E+00,2.92374E-01
-2.96975E+00,2.92450E-01
-2.96970E+00,2.92481E-01
-2.96965E+00,2.92435E-01
-2.96960E+00,2.92389E-01
-2.96955E+00,2.92481E-01
-2.96950E+00,2.92496E-01
-2.96945E+00,2.92527E-01
-2.96940E+00,2.92481E-01
-2.96935E+00,2.92511E-01
-2.96930E+00,2.92618E-01
-2.96925E+00,2.92496E-01
-2.96920E+00,2.92557E-01
-2.96915E+00,2.92649E-01
-2.96910E+00,2.92633E-01
-2.96905E+00,2.92557E-01
-2.96900E+00,2.92542E-01
-2.96895E+00,2.92557E-01
-2.96890E+00,2.92542E-01
-2.96884E+00,2.92572E-01
-2.96879E+00,2.92527E-01
-2.96874E+00,2.92633E-01
-2.96869E+00,2.92618E-01
-2.96864E+00,2.92572E-01
-2.96859E+00,2.92618E-01
-2.96854E+00,2.92588E-01
-2.96849E+00,2.92496E-01
-2.96844E+00,2.92496E-01
-2.96839E+00,2.92557E-01
-2.96834E+00,2.92511E-01
-2.96829E+00,2.92572E-01
-2.96824E+00,2.92603E-01
-2.96819E+00,2.92588E-01
-2.96814E+00,2.92633E-01
-2.96809E+00,2.92542E-01
-2.96804E+00,2.92557E-01
-2.96799E+00,2.92633E-01
-2.96794E+00,2.92679E-01
-2.96789E+00,2.92664E-01
-2.96784E+00,2.92557E-01
-2.96779E+00,2.92557E-01
-2.96774E+00,2.92588E-01
-2.96769E+00,2.92618E-01
-2.96764E+00,2.92695E-01
-2.96759E+00,2.92664E-01
-2.96754E+00,2.92603E-01
-2.96749E+00,2.92649E-01
-2.96744E+00,2.92679E-01
-2.96739E+00,2.92801E-01
-2.96734E+00,2.92695E-01
-2.96729E+00,2.92633E-01
-2.96724E+00,2.92572E-01
-2.96719E+00,2.92588E-01
-2.96714E+00,2.92527E-01
-2.96709E+00,2.92496E-01
-2.96704E+00,2.92496E-01
-2.96699E+00,2.92557E-01
-2.96694E+00,2.92527E-01
-2.96689E+00,2.92572E-01
-2.96684E+00,2.92679E-01
-2.96679E+00,2.92771E-01
-2.96674E+00,2.92679E-01
-2.96669E+00,2.92725E-01
-2.96664E+00,2.92664E-01
-2.96659E+00,2.92664E-01
-2.96654E+00,2.92695E-01
-2.96649E+00,2.92756E-01
-2.96644E+00,2.92664E-01
-2.96639E+00,2.92649E-01
-2.96634E+00,2.92710E-01
-2.96629E+00,2.92618E-01
-2.96624E+00,2.92618E-01
-2.96619E+00,2.92557E-01
-2.96614E+00,2.92649E-01
-2.96609E+00,2.92771E-01
-2.96604E+00,2.92725E-01
-2.96599E+00,2.92695E-01
-2.96594E+00,2.92695E-01
-2.96589E+00,2.92740E-01
-2.96584E+00,2.92771E-01
-2.96579E+00,2.92679E-01
-2.96573E+00,2.92801E-01
-2.96568E+00,2.92801E-01
-2.96563E+00,2.92710E-01
-2.96558E+00,2.92786E-01
-2.96553E+00,2.92695E-01
-2.96548E+00,2.92695E-01
-2.96543E+00,2.92572E-01
-2.96538E+00,2.92603E-01
-2.96533E+00,2.92633E-01
-2.96528E+00,2.92557E-01
-2.96523E+00,2.92527E-01
-2.96518E+00,2.92588E-01
-2.96513E+00,2.92603E-01
-2.96508E+00,2.92603E-01
-2.96503E+00,2.92572E-01
-2.96498E+00,2.92527E-01
-2.96493E+00,2.92496E-01
-2.96488E+00,2.92588E-01
-2.96483E+00,2.92557E-01
-2.96478E+00,2.92572E-01
-2.96473E+00,2.92450E-01
-2.96468E+00,2.92481E-01
-2.96463E+00,2.92466E-01
-2.96458E+00,2.92572E-01
-2.96453E+00,2.92450E-01
-2.96448E+00,2.92481E-01
-2.96443E+00,2.92466E-01
-2.96438E+00,2.92389E-01
-2.96433E+00,2.92450E-01
-2.96428E+00,2.92511E-01
-2.96423E+00,2.92405E-01
-2.96418E+00,2.92405E-01
-2.96413E+00,2.92374E-01
-2.96408E+00,2.92389E-01
-2.96403E+00,2.92328E-01
-2.96398E+00,2.92221E-01
-2.96393E+00,2.92237E-01
-2.96388E+00,2.92221E-01
-2.96383E+00,2.92221E-01
-2.96378E+00,2.92237E-01
-2.96373E+00,2.92267E-01
-2.96368E+00,2.92298E-01
-2.96363E+00,2.92283E-01
-2.96358E+00,2.92313E-01
-2.96353E+00,2.92344E-01
-2.96348E+00,2.92283E-01
-2.96343E+00,2.92328E-01
-2.96338E+00,2.92267E-01
-2.96333E+00,2.92344E-01
-2.96328E+00,2.92267E-01
-2.96323E+00,2.92206E-01
-2.96318E+00,2.92267E-01
-2.96313E+00,2.92328E-01
-2.96308E+00,2.92283E-01
-2.96303E+00,2.92359E-01
-2.96298E+00,2.92298E-01
-2.96293E+00,2.92252E-01
-2.96288E+00,2.92221E-01
-2.96283E+00,2.92298E-01
-2.96278E+00,2.92283E-01
-2.96273E+00,2.92298E-01
-2.96268E+00,2.92206E-01
-2.96263E+00,2.92160E-01
-2.96257E+00,2.92160E-01
-2.96252E+00,2.92237E-01
-2.96247E+00,2.92176E-01
-2.96242E+00,2.92221E-01
-2.96237E+00,2.92130E-01
-2.96232E+00,2.92191E-01
-2.96227E+00,2.92191E-01
-2.96222E+00,2.92237E-01
-2.96217E+00,2.92298E-01
-2.96212E+00,2.92267E-01
-2.96207E+00,2.92298E-01
-2.96202E+00,2.92389E-01
-2.96197E+00,2.92359E-01
-2.96192E+00,2.92374E-01
-2.96187E+00,2.92344E-01
-2.96182E+00,2.92344E-01
-2.96177E+00,2.92359E-01
-2.96172E+00,2.92374E-01
-2.96167E+00,2.92420E-01
-2.96162E+00,2.92374E-01
-2.96157E+00,2.92359E-01
-2.96152E+00,2.92267E-01
-2.96147E+00,2.92328E-01
