in s,C1 in V
-5.98064E+00,-2.441E-02
-5.98054E+00,-2.441E-02
-5.98044E+00,2.441E-02
-5.98034E+00,2.441E-02
-5.98024E+00,2.441E-02
-5.98014E+00,-2.441E-02
-5.98004E+00,-7.324E-02
-5.97994E+00,-7.324E-02
-5.97984E+00,2.441E-02
-5.97974E+00,-2.441E-02
-5.97964E+00,-1.709E-01
-5.97954E+00,-1.221E-01
-5.97943E+00,-2.441E-02
-5.97933E+00,-2.441E-02
-5.97923E+00,-7.324E-02
-5.97913E+00,2.441E-02
-5.97903E+00,-2.441E-02
-5.97893E+00,1.221E-01
-5.97883E+00,-2.441E-02
-5.97873E+00,-1.221E-01
-5.97863E+00,2.441E-02
-5.97853E+00,1.709E-01
-5.97843E+00,2.441E-02
-5.97833E+00,-7.324E-02
-5.97823E+00,1.221E-01
-5.97813E+00,7.324E-02
-5.97803E+00,7.324E-02
-5.97793E+00,2.441E-02
-5.97783E+00,1.709E-01
-5.97773E+00,2.441E-02
-5.97763E+00,2.441E-02
-5.97753E+00,-1.709E-01
-5.97743E+00,-7.324E-02
-5.97733E+00,1.221E-01
-5.97723E+00,1.221E-01
-5.97713E+00,7.324E-02
-5.97703E+00,2.686E-01
-5.97693E+00,1.709E-01
-5.97683E+00,1.221E-01
-5.97673E+00,2.441E-02
-5.97663E+00,2.441E-02
-5.97653E+00,-7.324E-02
-5.97643E+00,-2.441E-02
-5.97633E+00,-1.221E-01
-5.97623E+00,-1.221E-01
-5.97613E+00,7.324E-02
-5.97603E+00,7.324E-02
-5.97593E+00,-2.441E-02
-5.97583E+00,2.441E-02
-5.97573E+00,7.324E-02
-5.97563E+00,-1.221E-01
-5.97553E+00,-1.709E-01
-5.97543E+00,2.441E-02
-5.97533E+00,1.221E-01
-5.97523E+00,1.221E-01
-5.97513E+00,1.221E-01
-5.97503E+00,2.441E-02
-5.97493E+00,-2.441E-02
-5.97483E+00,1.221E-01
-5.97473E+00,-1.221E-01
-5.97463E+00,2.441E-02
-5.97453E+00,2.441E-02
-5.97442E+00,2.441E-02
-5.97432E+00,2.441E-02
-5.97422E+00,7.324E-02
-5.97412E+00,2.441E-02
-5.97402E+00,-2.441E-02
-5.97392E+00,-2.441E-02
-5.97382E+00,-2.441E-02
-5.97372E+00,2.441E-02
-5.97362E+00,7.324E-02
-5.97352E+00,-7.324E-02
-5.97342E+00,2.441E-02
-5.97332E+00,1.221E-01
-5.97322E+00,2.441E-02
-5.97312E+00,2.441E-02
-5.97302E+00,2.441E-02
-5.97292E+00,2.441E-02
-5.97282E+00,2.441E-02
-5.97272E+00,-1.221E-01
-5.97262E+00,1.221E-01
-5.97252E+00,2.441E-02
-5.97242E+00,2.441E-02
-5.97232E+00,-1.221E-01
-5.97222E+00,1.221E-01
-5.97212E+00,2.441E-02
-5.97202E+00,1.221E-01
-5.97192E+00,2.441E-02
-5.97182E+00,-2.441E-02
-5.97172E+00,7.324E-02
-5.97162E+00,2.441E-02
-5.97152E+00,-2.441E-02
-5.97142E+00,-7.324E-02
-5.97132E+00,2.441E-02
-5.97122E+00,7.324E-02
-5.97112E+00,2.441E-02
-5.97102E+00,-7.324E-02
-5.97092E+00,7.324E-02
-5.97082E+00,-7.324E-02
-5.97072E+00,-2.441E-02
-5.97062E+00,-2.441E-02
-5.97052E+00,2.441E-02
-5.97042E+00,7.324E-02
-5.97032E+00,1.221E-01
-5.97022E+00,-1.709E-01
-5.97012E+00,1.221E-01
-5.97002E+00,7.324E-02
-5.96992E+00,-1.221E-01
-5.96982E+00,2.441E-02
-5.96972E+00,2.441E-02
-5.96962E+00,-2.441E-02
-5.96952E+00,-1.221E-01
-5.96941E+00,2.441E-02
-5.96931E+00,2.441E-02
-5.96921E+00,2.441E-02
-5.96911E+00,-2.441E-02
-5.96901E+00,2.441E-02
-5.96891E+00,1.221E-01
-5.96881E+00,2.441E-02
-5.96871E+00,-1.221E-01
-5.96861E+00,2.441E-02
-5.96851E+00,-2.441E-02
-5.96841E+00,1.221E-01
-5.96831E+00,-7.324E-02
-5.96821E+00,-2.441E-02
-5.96811E+00,7.324E-02
-5.96801E+00,-7.324E-02
-5.96791E+00,-7.324E-02
-5.96781E+00,2.441E-02
-5.96771E+00,1.221E-01
-5.96761E+00,2.441E-02
-5.96751E+00,-1.709E-01
-5.96741E+00,1.709E-01
-5.96731E+00,7.324E-02
-5.96721E+00,1.221E-01
-5.96711E+00,-7.324E-02
-5.96701E+00,-2.441E-02
-5.96691E+00,-7.324E-02
-5.96681E+00,2.441E-02
-5.96671E+00,-1.221E-01
-5.96661E+00,-2.441E-02
-5.96651E+00,1.221E-01
-5.96641E+00,-1.221E-01
-5.96631E+00,-7.324E-02
-5.96621E+00,-2.441E-02
-5.96611E+00,7.324E-02
-5.96601E+00,-7.324E-02
-5.96591E+00,-2.441E-02
-5.96581E+00,-2.441E-02
-5.96571E+00,7.324E-02
-5.96561E+00,7.324E-02
-5.96551E+00,2.441E-02
-5.96541E+00,7.324E-02
-5.96531E+00,2.441E-02
-5.96521E+00,-1.221E-01
-5.96511E+00,2.441E-02
-5.96501E+00,-2.441E-02
-5.96491E+00,1.709E-01
-5.96481E+00,7.324E-02
-5.96471E+00,-7.324E-02
-5.96461E+00,-2.441E-02
-5.96451E+00,2.441E-02
-5.96440E+00,2.441E-02
-5.96430E+00,2.441E-02
-5.96420E+00,7.324E-02
-5.96410E+00,-2.441E-02
-5.96400E+00,-1.221E-01
-5.96390E+00,-1.221E-01
-5.96380E+00,-2.441E-02
-5.96370E+00,-2.441E-02
-5.96360E+00,-7.324E-02
-5.96350E+00,-1.221E-01
-5.96340E+00,1.221E-01
-5.96330E+00,1.221E-01
-5.96320E+00,2.441E-02
-5.96310E+00,-2.441E-02
-5.96300E+00,-2.441E-02
-5.96290E+00,1.709E-01
-5.96280E+00,-1.221E-01
-5.96270E+00,-2.441E-02
-5.96260E+00,-2.441E-02
-5.96250E+00,-2.441E-02
-5.96240E+00,2.441E-02
-5.96230E+00,2.441E-02
-5.96220E+00,-7.324E-02
-5.96210E+00,2.441E-02
-5.96200E+00,-1.221E-01
-5.96190E+00,-2.441E-02
-5.96180E+00,-7.324E-02
-5.96170E+00,-7.324E-02
-5.96160E+00,-1.221E-01
-5.96150E+00,-7.324E-02
-5.96140E+00,-2.441E-02
-5.96130E+00,2.441E-02
-5.96120E+00,-2.441E-02
-5.96110E+00,7.324E-02
-5.96100E+00,-7.324E-02
-5.96090E+00,2.441E-02
-5.96080E+00,-7.324E-02
-5.96070E+00,1.221E-01
-5.96060E+00,-2.441E-02
-5.96050E+00,2.441E-02
-5.96040E+00,2.441E-02
